Municipality;CPE's by locality;Active Energy by municipality(kWh)
Alandroal            ;4133;1838245.2459999998
Arraiolos            ;4874;2092141.8159999999
Borba                ;4292;1760942.903
Estremoz             ;9441;3979740.971
Évora                ;33178;23827676.029000003
Montemor-o-Novo      ;10835;5889480.294
Mora                 ;3631;1373641.587
Mourão               ;1962;819381.4230000001
Portel               ;4191;16443205.229
Redondo              ;4485;2005721.782
Reguengos de Monsaraz;7233;3027501.334
Vendas Novas         ;7049;3751564.232
Viana do Alentejo    ;3768;1463354.97
Vila Viçosa          ;4996;2750623.817
Albufeira            ;54157;33437993.117000002
Alcoutim             ;3703;611524.557
Aljezur              ;6523;1880390.4440000001
Castro Marim         ;9316;4480393.471000001
Faro                 ;45822;22065549.552
Lagoa                ;24284;12629094.096
Lagos                ;34479;14100184.527999999
Loulé                ;77321;44352365.304000005
Monchique            ;4570;1809858.23
Olhão                ;30380;10406465.414
Portimão             ;56840;22045051.902
São Brás de Alportel ;7871;2816559.9570000004
Silves               ;36513;15428357.454
Tavira               ;29620;10194949.307999998
Vila do Bispo        ;6842;2826331.807
Vila Real de Santo An;24071;6619008.456
Aguiar da Beira      ;4933;1135609.924
Almeida              ;7014;1219835.386
Celorico da Beira    ;6283;1275487.829
Figueira de Castelo R;5356;1037675.1379999999
Fornos de Algodres   ;4108;833669.8370000002
Gouveia              ;10867;2336432.5510000004
Guarda               ;30675;14846808.172999999
Manteigas            ;2750;677481.98
Mêda                 ;5058;767448.6440000001
Pinhel               ;8339;1503302.7190000003
Sabugal              ;14830;2151209.541
Seia                 ;18220;4666753.927000001
Trancoso             ;8160;1670314.865
Vila Nova de Foz Côa ;6740;1406435.369
Alcobaça             ;39245;19699225.738
Alvaiázere           ;5897;1248745.845
Ansião               ;9048;2611803.2070000004
Batalha              ;9851;6249562.411
Bombarral            ;8893;3151119.435
Caldas da Rainha     ;37113;14734733.095000003
Castanheira de Pêra  ;2643;770994.547
Figueiró dos Vinhos  ;5249;948937.7050000001
Leiria               ;82954;51741448.033999994
Marinha Grande       ;25027;45908711.103
Nazaré               ;15315;6355275.119999999
Óbidos               ;10505;5086496.92
Pedrógão Grande      ;3832;948610.968
Peniche              ;23563;8055701.559999999
Pombal               ;37351;21044400.957000006
Porto de Mós         ;14532;10576792.091999996
Alenquer             ;24858;18889521.167
Arruda dos Vinhos    ;7678;2988192.087
Azambuja             ;12414;12774466.277
Cadaval              ;9700;3040246.3790000007
Cascais              ;127968;50392039.405
Lisboa               ;394572;242664567.35300002
Loures               ;110545;53919411.82100001
Lourinhã             ;19017;6276322.827
Mafra                ;50321;20789442.132999998
Oeiras               ;103052;50244263.016
Sintra               ;215583;75684179.255
Sobral de Monte Agraç;5940;2077298.0050000001
Torres Vedras        ;52008;24405689.586999997
Vila Franca de Xira  ;78305;68315635.08700001
Amadora              ;98733;38592131.582
Odivelas             ;81902;22256159.216
Alter do Chão        ;2892;858120.347
Arronches            ;2319;798947.8809999999
Avis                 ;3182;4463850.29
Campo Maior          ;5372;5065489.737
Castelo de Vide      ;2950;1139564.746
Crato                ;3162;816024.5729999999
Elvas                ;13439;5866914.128
Fronteira            ;2563;826995.841
Gavião               ;3535;773182.865
Marvão               ;2823;804391.5430000001
Monforte             ;2225;897722.605
Nisa                 ;6882;1310916.8680000002
Ponte de Sor         ;10934;4750168.097999999
Portalegre           ;15671;9542448.141
Sousel               ;3572;1754974.135
Amarante             ;31797;9305899.396999998
Baião                ;11943;2663459.1280000005
Felgueiras           ;28083;13363232.103
Gondomar             ;83375;29553616.939
Lousada              ;22561;8628948.665000001
Maia                 ;71075;109493621.74
Marco de Canaveses   ;26952;10853623.105
Matosinhos           ;97134;51504973.61000001
Paços de Ferreira    ;26155;15875881.636
Paredes              ;32944;18606383.518000003
Penafiel             ;35462;15368134.044
Porto                ;174973;97520991.223
Póvoa de Varzim      ;45257;14983054.736999998
Santo Tirso          ;30387;32734905.61099999
Valongo              ;48122;19963179.325
Vila do Conde        ;47465;29101319.332000013
Vila Nova de Gaia    ;162781;89994080.204
Trofa                ;19137;15417073.186999997
Abrantes             ;25180;10567936.841000002
Alcanena             ;8265;5643207.701
Almeirim             ;14117;6655643.254000001
Alpiarça             ;4630;3980930.421
Benavente            ;17696;12162078.692
Cartaxo              ;14754;8050413.658999999
Chamusca             ;6319;5439307.862
Constância           ;2426;3588449.828
Coruche              ;11651;8541292.112
Entroncamento        ;12530;5497344.352
Ferreira do Zêzere   ;7926;3464518.499000001
Golegã               ;4275;3152579.7589999996
Mação                ;6837;1876830.334
Rio Maior            ;13353;13423506.557000004
Salvaterra de Magos  ;12965;6504803.291999999
Santarém             ;38142;25877285.498
Sardoal              ;3033;691318.416
Tomar                ;27494;9934206.512
Torres Novas         ;22198;21029544.706999995
Vila Nova da Barquinh;4377;1431678.946
Ourém                ;32281;13768348.379
Alcácer do Sal       ;8480;6333071.731
Alcochete            ;11819;6670715.332
Almada               ;116447;39254590.524
Barreiro             ;49322;16597481.080000002
Grândola             ;12681;7001610.3040000005
Moita                ;39385;9387693.409
Montijo              ;32911;16941196.516
Palmela              ;39204;41035632.52
Santiago do Cacém    ;20560;9241035.181
Seixal               ;93061;89017378.33500001
Sesimbra             ;36771;11642913.767
Setúbal              ;75608;96646316.76900001
Sines                ;9956;69893649.139
Arcos de Valdevez    ;19112;7737799.645999998
Caminha              ;16253;3418467.005
Melgaço              ;8058;1527917.4300000002
Monção               ;15018;4773111.455999998
Paredes de Coura     ;6581;1854700.3650000002
Ponte da Barca       ;9304;1895946.266
Ponte de Lima        ;26095;8505747.79
Valença              ;10093;4510802.214
Viana do Castelo     ;56918;50486294.064
Vila Nova de Cerveira;6797;4761004.629
Alijó                ;9146;2051978.2900000003
Boticas              ;4850;1384722.2929999996
Chaves               ;30771;9014340.147
Mesão Frio           ;2422;505784.955
Mondim de Basto      ;5259;1148756.754
Montalegre           ;10476;1736767.5949999997
Murça                ;4473;892838.321
Peso da Régua        ;10308;2948866.857
Ribeira de Pena      ;5048;2202787.4329999997
Sabrosa              ;4933;1187693.575
Santa Marta de Penagu;4587;834360.873
Valpaços             ;13825;2509999.0949999993
Vila Pouca de Aguiar ;10610;3198227.943
Vila Real            ;34692;12410653.173999999
Armamar              ;5147;1484130.5690000001
Carregal do Sal      ;7327;2048771.3989999997
Castro daire         ;12644;2566826.568
Cinfães              ;12296;2505621.108
Lamego               ;18053;5279547.7700000005
Mangualde            ;13356;13229676.595999999
Moimenta da Beira    ;8571;2110316.2709999997
Mortágua             ;6698;3844588.3439999996
Nelas                ;9523;13717111.401999999
Oliveira de Frades   ;6769;4280423.677
Penalva do Castelo   ;5938;1172420.4449999998
Penedono             ;2804;441961.877
Resende              ;7750;1445142.1339999998
Santa Comba Dão      ;7879;2219805.152
São João da Pesqueira;5824;1250693.614
São Pedro do Sul     ;12247;3295407.664
Sátão                ;9447;2048276.1759999997
Sernancelhe          ;4764;1253302.0479999997
Tabuaço              ;4423;834735.626
Tarouca              ;6605;1544881.137
Tondela              ;19264;8866886.689000001
Vila Nova de Paiva   ;4702;841388.379
Viseu                ;66043;26301000.364
Vouzela              ;7302;2022659.0009999997
